delegator_acc,validator_acc,bonded_token
somm134h2clsm8jeq7ku9v0ecplr8t8pnjrtcymsu5u,sommvaloper1thl5syhmscgnj7whdyrydw3w6vy80044ty5hup,usomm
somm1zhmcjl7nl3j0pv4qhnxcw35fuww2rjcha5ew2m,sommvaloper1thl5syhmscgnj7whdyrydw3w6vy80044ty5hup,usomm
somm1frpf79gs7357gmfehfmksxvgky2ccxzslutxlp,sommvaloper1thl5syhmscgnj7whdyrydw3w6vy80044ty5hup,usomm
somm1pp572fvj3r783qjqxrw069jajaz3pp50kzlvrc,sommvaloper1thl5syhmscgnj7whdyrydw3w6vy80044ty5hup,usomm
somm1vjzsmk02gnjjh3x2hkzxjgnsrl0ycj9f6sn436,sommvaloper1thl5syhmscgnj7whdyrydw3w6vy80044ty5hup,usomm
somm1gqcsp5u2j3uew074en3jv8ekcn9y0xss2y2kfv,sommvaloper1thl5syhmscgnj7whdyrydw3w6vy80044ty5hup,usomm
somm1sr0lw3rnl4u3zz7hxrek0pp26hjhapec0fzg4c,sommvaloper1thl5syhmscgnj7whdyrydw3w6vy80044ty5hup,usomm
somm1r46atszkulrxqdgcdgyaazurg9534dfjvrzgen,sommvaloper1thl5syhmscgnj7whdyrydw3w6vy80044ty5hup,usomm
somm1gylzr0qr6ekq6cpwcjlttqtyyveen74gvfuqjs,sommvaloper1thl5syhmscgnj7whdyrydw3w6vy80044ty5hup,usomm
somm1pelz9wxas2wtjr2p8xepcqp22n3kynmza2thhs,sommvaloper1esfv6n47eplr769qrv4v98kxlw2al4q4sn3ert,usomm
somm1gv000qhrhh8kxrgskcczul4jcwnum4xcdvxqkj,sommvaloper1esfv6n47eplr769qrv4v98kxlw2al4q4sn3ert,usomm
somm10euawmvvt7fw4hdwh0nrk2rgez07zraxyvq78k,sommvaloper1esfv6n47eplr769qrv4v98kxlw2al4q4sn3ert,usomm
somm1rmrajtl9fw7rwwq02suxaep08hlnm9zuj899sa,sommvaloper1esfv6n47eplr769qrv4v98kxlw2al4q4sn3ert,usomm
somm1hpqy79720cqgyvlr2yzwrjhuh68vh2azgvrjne,sommvaloper1esfv6n47eplr769qrv4v98kxlw2al4q4sn3ert,usomm
somm1h9lkggh3amjvfweaquqzcjkwtdtscy9eur3jg6,sommvaloper1esfv6n47eplr769qrv4v98kxlw2al4q4sn3ert,usomm
somm13fzmh65d8rffmwj5en696u78pf0hxcdhhd2vnz,sommvaloper1esfv6n47eplr769qrv4v98kxlw2al4q4sn3ert,usomm
somm198uj3ffetplr9szd774wznk2ssjnjkgh9fj3wh,sommvaloper1esfv6n47eplr769qrv4v98kxlw2al4q4sn3ert,usomm
somm1myxc89f2vwn98a8cm9jyu8jevr6zjcr7k358dy,sommvaloper1esfv6n47eplr769qrv4v98kxlw2al4q4sn3ert,usomm
somm1zq9e3wuzcrxytadaqaa5j8ctq7cmakp56z328g,sommvaloper1esfv6n47eplr769qrv4v98kxlw2al4q4sn3ert,usomm
somm1pv7nzzz54kuqztvzv0uuufz948ecf80htk8vuw,sommvaloper1esfv6n47eplr769qrv4v98kxlw2al4q4sn3ert,usomm
somm1kpmyzne9qx65w6s27mvndz7qpv2dr7vhm7c5vw,sommvaloper1esfv6n47eplr769qrv4v98kxlw2al4q4sn3ert,usomm
somm1jxpztalf3skjftyrlf3tpd3c94g2nqkahyzyk9,sommvaloper1esfv6n47eplr769qrv4v98kxlw2al4q4sn3ert,usomm
somm1e9dyzzfj5d0n9df7y59p5uns2vulq5mucxzh9c,sommvaloper1esfv6n47eplr769qrv4v98kxlw2al4q4sn3ert,usomm
somm170x503z95w0nj5ugl2ckr0890x05zss0w0k2pu,sommvaloper1esfv6n47eplr769qrv4v98kxlw2al4q4sn3ert,usomm
somm10qymecrjmsctxs0jgf9jr3d2fxltyctk8wcw4f,sommvaloper1esfv6n47eplr769qrv4v98kxlw2al4q4sn3ert,usomm
somm1euzyju46hkp0mmvj4mm9nsurgkcv2yxcv775uh,sommvaloper1esfv6n47eplr769qrv4v98kxlw2al4q4sn3ert,usomm
somm1vrml8rkxcstrneqv208wmd9f3yd5uwkwuqfp09,sommvaloper1esfv6n47eplr769qrv4v98kxlw2al4q4sn3ert,usomm
somm16js7mlflujmecvhzsec6n7x49c3r7hcdftdxad,sommvaloper1esfv6n47eplr769qrv4v98kxlw2al4q4sn3ert,usomm
somm1gw6yu9jetj2vrht8qrf9wmpjdq4weuee4su6vs,sommvaloper1esfv6n47eplr769qrv4v98kxlw2al4q4sn3ert,usomm
somm1pdru4ur3n25kccfa7ne4deman5unn62vmwrd7r,sommvaloper1esfv6n47eplr769qrv4v98kxlw2al4q4sn3ert,usomm
somm1wmdxg6g6zudalf9c3t0yj0lftctlw85kql3hyv,sommvaloper1esfv6n47eplr769qrv4v98kxlw2al4q4sn3ert,usomm
somm1t64u2enf3t7jrq2sw49n2aqngxhpa4qj2fa7w2,sommvaloper1esfv6n47eplr769qrv4v98kxlw2al4q4sn3ert,usomm
somm143w9ch4a3zxd8d50xj0xpkpjgsgl4remngtz5d,sommvaloper1esfv6n47eplr769qrv4v98kxlw2al4q4sn3ert,usomm
somm1ldtav5e8efvjmdzd8jefyk6rh4dtl2yz2n2fne,sommvaloper1esfv6n47eplr769qrv4v98kxlw2al4q4sn3ert,usomm
somm1p59gee55s8gu5j05ejxvr56elv2pewtvmkgr9n,sommvaloper1esfv6n47eplr769qrv4v98kxlw2al4q4sn3ert,usomm
somm1yc4j8yw2wh2fcq3k7zsvntysggd93lhmaj8phe,sommvaloper1esfv6n47eplr769qrv4v98kxlw2al4q4sn3ert,usomm
