delegator,voting_power
somm1w9ra9c8hr2nc9dhkjec6evt6qqz7ul2yyax62t,16527684.000000000000000000
somm1dhztuzp7cx0rgmj7sqtnp9ltrnr5dz9hevh6yy,158987500.000000000000000000
somm1t3g7fhs8pvgrfcf5ph4psw7c2lusxtr6axn480,15000000.000000000000000000
somm1pl60dp0rp6gjehe3fmtczxcyv4c9ufxlkkuvw8,13908465.000000000000000000
somm1vheytvlp9dwl8zj6mttvk7s9jytcetkl4lypwy,133434432.000000000000000000
somm107tcy3hrjedrrnfenf365e3attf0gpgkr0plsy,1256000000.000000000000000000
somm1qpztrc7q8avflmzpjgv9qlwqlfrsnsdfs3720l,116765279.000000000000000000
somm1r89t3arnclaz3554u67pg0w9ftkfppv3arn8tn,114000000.000000000000000000
somm1tqlex8qlnk6pwphvk95guvucgh994ysec5s9jp,1110000.000000000000000000
somm1p4dux668yurw3zzvuw6apg25hf3fxnayvj3ag5,1103300.000000000000000000
somm1ph3v5taxm86aq5v7yqpftmr3sgjss0fdfed572,11000000.000000000000000000
somm1wcqsvjxwycwng8ufc86fv02k27k04e79qquw45,1100000.000000000000000000
somm1syydtf6x3qucrxdvz9x2l2wctyezvqeehctjuk,1100000.000000000000000000
somm1fc07eff4sw5k4jdsay8qlvzkknp99qgzwmsgwl,101500000.000000000000000000
somm12n4pgw42qy5lkw4at43eqmjcwr52meq9fcm52t,100000000000.000000000000000000
somm10pqg8v7k2qllru3qtqx8vly6cv3rtx4alp9w2v,100000000000.000000000000000000
somm1x5rmunevfr0cn3dypw86vp9r9c60zzlk8twpnr,100000000000.000000000000000000
somm1fyg7dwx032m8cxv9sc0d6c75l854sgc0r87hyh,100000000.000000000000000000
somm1d8mukpy5uq63923lj96thxur6krf2mlvmmks2v,100000000.000000000000000000
somm1qly96sy3yklkwv6cf4he5ves4qu8yn58k5uvru,10000000.000000000000000000
somm107r0ylq95jdantsxr2v376s3mu0ufh6gswtn4x,10000000.000000000000000000
somm1z3pzzw84d6xn00pw9dy3yapqypfde7vgqtkrlj,10000000.000000000000000000
somm1fjhtga2hg3tke378fn772r8zyt08wvsjfg4cm8,10000000.000000000000000000
somm1tlquwwh9evzpma69u9fxkzswd5zaj0u5fpv73k,10000000.000000000000000000
somm1yxgefa7h4hnta2cfglm2e7r5cnlwpkxflt60yg,10000000.000000000000000000
somm13nhlg7cqspec5e0yv0n6nts3zcmfnc6hcuh9ju,10000000.000000000000000000
somm1z400avcmc4kep5twxmwq36p4xxjftf572nqqp9,1000000.000000000000000000
somm1thl5syhmscgnj7whdyrydw3w6vy800447662mw,1000000.000000000000000000
somm1y7pvhqey6fwvwwmn5x7y38vh7p43p2jxz73sw8,1000000.000000000000000000
somm1w367kw5c2zkmnttnwxx9fxa6l8mkyf5p2ghj25,100000.000000000000000000
somm1xjapfntlvpz2uf738lud7yvxcutkvk2499xhzg,100000.000000000000000000
somm1dnxckpa3arheekf737rddleszuata0n79s58n2,10000.000000000000000000
somm1pelz9wxas2wtjr2p8xepcqp22n3kynmza2thhs,8614100000.000000000000000000
somm1gv000qhrhh8kxrgskcczul4jcwnum4xcdvxqkj,773800000.000000000000000000
somm10euawmvvt7fw4hdwh0nrk2rgez07zraxyvq78k,728471.000000000000000000
somm1rmrajtl9fw7rwwq02suxaep08hlnm9zuj899sa,70564998.000000000000000000
somm1hpqy79720cqgyvlr2yzwrjhuh68vh2azgvrjne,7000000.000000000000000000
somm1h9lkggh3amjvfweaquqzcjkwtdtscy9eur3jg6,69261155.000000000000000000
somm13fzmh65d8rffmwj5en696u78pf0hxcdhhd2vnz,68838307.000000000000000000
somm198uj3ffetplr9szd774wznk2ssjnjkgh9fj3wh,68000020.000000000000000000
somm1myxc89f2vwn98a8cm9jyu8jevr6zjcr7k358dy,588900000.000000000000000000
somm1zq9e3wuzcrxytadaqaa5j8ctq7cmakp56z328g,55000000.000000000000000000
somm1pv7nzzz54kuqztvzv0uuufz948ecf80htk8vuw,533000000.000000000000000000
somm1kpmyzne9qx65w6s27mvndz7qpv2dr7vhm7c5vw,52000000.000000000000000000
somm1jxpztalf3skjftyrlf3tpd3c94g2nqkahyzyk9,52000000.000000000000000000
somm1e9dyzzfj5d0n9df7y59p5uns2vulq5mucxzh9c,5000000000.000000000000000000
