delegator_acc,validator_acc,bonded_token
juno1qhrt425swuwutnkzkufqvz49mgryudqrmjmc5z,junovaloper1qcrjhyp0x7ft5k0duz8gxx4cmwqaxv7lr0lxa5,ujuno
juno1trke0jkyzaxjsep2qyya0d4k0jeeem8yjxr4lm,junovaloper1qcrjhyp0x7ft5k0duz8gxx4cmwqaxv7lr0lxa5,ujuno
juno1gkfrsy456camh3ufqqefuqsz4cp2z4c267f8zl,junovaloper1qcrjhyp0x7ft5k0duz8gxx4cmwqaxv7lr0lxa5,ujuno
juno1qxngfsqjng2fup6egfathdzwnveqyhh5nj2lje,junovaloper1qcrjhyp0x7ft5k0duz8gxx4cmwqaxv7lr0lxa5,ujuno
juno1vs5n793wc3rr4gm3vn8jct9c8cefravelw58f2,junovaloper1qcrjhyp0x7ft5k0duz8gxx4cmwqaxv7lr0lxa5,ujuno
juno1v4ye43xg5zq8j5rf3e0w6fuwffq3qtwfnm4zah,junovaloper1qcrjhyp0x7ft5k0duz8gxx4cmwqaxv7lr0lxa5,ujuno
juno1vwpgd5zmpgae27y20pvrr54lz2yqjz7y02j5r7,junovaloper1qcrjhyp0x7ft5k0duz8gxx4cmwqaxv7lr0lxa5,ujuno
juno1v4lv03eaeqvftwtzlm8qm6muffwd9f0qe4xr84,junovaloper1qcrjhyp0x7ft5k0duz8gxx4cmwqaxv7lr0lxa5,ujuno
juno1yqfgs4ev7xyegpqx8wmle90ethhfg786mdt5f6,junovaloper1qcrjhyp0x7ft5k0duz8gxx4cmwqaxv7lr0lxa5,ujuno
juno1ydj5645sqlyvyj79840sk5naj3yk6hy6306psp,junovaloper1qcrjhyp0x7ft5k0duz8gxx4cmwqaxv7lr0lxa5,ujuno
juno1dscvydy0yepnwty3vrajf2lyjn7gx8mefanpcz,junovaloper1qcrjhyp0x7ft5k0duz8gxx4cmwqaxv7lr0lxa5,ujuno
juno18fvj5z86e60v0x2fpeh4gkr5g88pd98kutds27,junovaloper1qcrjhyp0x7ft5k0duz8gxx4cmwqaxv7lr0lxa5,ujuno
juno12jnvhw8kp05q2hsz8806hrn07vulqky55qn34q,junovaloper1qcrjhyp0x7ft5k0duz8gxx4cmwqaxv7lr0lxa5,ujuno
